authorID,rank,name,PaperCount,CitationCount,year
2309916366,14378,Mark S. Squillante,209,4024,2008
1976116216,14493,Mark Tehranipoor,313,5248,2021
2289975239,12934,Markus Gross,640,27193,2012
2156109015,13667,Marta Kwiatkowska,368,15095,2016
246373776,14527,Martin Farach-Colton,124,5126,2021
2300561433,14109,Martin Grohe,210,9830,2017
2117317669,14035,Martin L. Kersten,224,6611,2016
248131350,14287,Martin Odersky,163,7856,2007
343541395,13586,Martin Rinard,353,14254,2009
2545000257,11766,Martin Vetterli,792,48393,2009
2162106674,12267,Martín Abadi,313,44645,2008
151371205,13513,Mary Beth Rosson,394,13597,2020
2071984077,13351,Mary Czerwinski,340,16029,2015
2123342649,13494,Mary Jane Irwin,490,11715,1996
2098205087,14186,Mary K. Vernon,98,4679,1996
686913843,13922,Mary Lou Soffa,225,8336,1999
2141334907,13131,Mary Shaw,259,13719,1996
390930505,13874,Masaru Kitsuregawa,535,6368,2012
2134649964,13730,Mateo Valero,526,10545,2002
156043509,13531,Mathieu Desbrun,176,13697,2020
2156583880,14056,Matthew B. Dwyer,197,8118,2019
1231305195,13942,Matthew Roughan,178,6242,2018
2154441808,13415,Matthew T. Mason,198,9734,2021
2740893301,12489,Matthew Turk,196,25797,2020
113813022,13827,Matthias Felleisen,232,10240,2006
251194211,13354,Matthias Jarke,613,12101,2013
2068258939,12957,Maurice Herlihy,313,20487,2005
2224046207,13413,Maurice V. Wilkes,149,1865,1994
1976298713,13004,Maurizio Lenzerini,345,18408,2009
2614290841,14259,Meir M. Lehman,63,5216,1994
2102969555,12703,Mendel Rosenblum,99,16045,2008
2123314761,13986,Meredith Ringel Morris,229,10046,2020
2154115838,12707,Micha Sharir,525,22586,1997
2655339063,14132,Michael A. Harrison,104,3209,1996
2156496335,13739,Michael Cohen,185,7692,2007
2235702021,13483,Michael D. Ernst,224,15296,2014
2304366500,15035,Michael D. Harrison,218,2333,1996
2470914381,12854,Michael D. Schroeder,57,8135,2004
3049172691,13686,Michael F. Cohen,151,10110,2007
2061291788,14831,Michael Franz,152,3255,2015
2435751034,11207,Michael I. Jordan,833,149948,2010
2157114695,13065,Michael J. Carey,279,14884,2000
2159593723,12742,Michael J. Fischer,175,18295,1996
2439324408,13357,Michael J. Flynn,262,8173,1994
2523407221,12222,Michael J. Franklin,337,41463,2005
2144033718,13053,Michael J. Freedman,151,12012,2019
2260712038,12635,Michael K. Reiter,350,24185,2008
2133824905,12686,Michael Kass,41,21141,2017
2118586410,13053,Michael Kearns,217,16847,2014
1988080645,12520,Michael Mitzenmacher,353,29858,2014
2144633556,12567,Michael O. Rabin,109,14716,2020
2227744130,13055,Michael R. Lyu,646,27076,2015
2115482440,15559,Michael Reiter,114,1160,2008
2111432008,14122,Michael Scott,147,9659,2006
324740313,13496,Michael Sipser,51,8788,2017
1998938290,11986,Michael Stonebraker,406,30217,1994
2135853928,13633,Michael T. Goodrich,356,10519,2009
2345025092,12576,Michael Wooldridge,532,39734,2015
357521830,13807,Michael Zyda,185,6312,2020
2674390412,14303,Michel Beaudouin-Lafon,165,5347,2022
2112744756,14915,Michel Dubois,125,2235,2005
667657047,13620,Michel X. Goemans,129,10671,2008
2177091684,12951,Mihai Pop,173,47372,2019
294360276,12626,Mihalis Yannakakis,238,26376,1998
2052950829,12039,Mihir Bellare,252,41185,2013
1984264859,13597,Mikhail J. Atallah,335,11227,2006
1857373744,13432,Mikkel Thorup,226,12435,2005
2237142500,13052,Milind Tambe,674,20373,2013
2439529108,12350,Ming Li,1613,49154,2006
2112462370,12216,Ming-Hsuan Yang,514,61067,2021
2122365371,13194,Ming-Syan Chen,479,14739,2006
2089290244,13635,Minos Garofalakis,218,10922,2018
2303035752,14350,Mitchell Wand,116,4632,2007
2165917828,13322,Mohammed J. Zaki,310,18606,2021
2184493679,15194,Mona Singh,103,4902,2019
1023361224,12138,Moni Naor,230,36948,2020
2136170053,12676,Monica S. Lam,195,20524,2007
2695385476,13343,Monika Henzinger,220,11635,2016
1345056057,13986,Mooly Sagiv,174,8005,2015
2101141533,14020,Mor Harchol-Balter,191,8354,2017
2003165903,13283,Moses Charikar,172,15159,2020
127037394,13867,Moshe Tennenholtz,300,8130,2019
1970575723,12448,Moshe Y. Vardi,766,37769,2000
2097786798,12632,Moti Yung,457,24859,2013
2306655439,13223,Munindar P. Singh,615,16892,2021
2031695674,14027,Nachiappan Nagappan,172,10391,2020
2115359679,14493,Naehyuck Chang,271,4423,2015
2110497244,13918,Nam Sung Kim,303,8577,2020
2180706138,12526,Nancy Lynch,408,26977,1997
2084418087,14208,Nancy M. Amato,275,7052,2015
2129011837,12748,Narendra Ahuja,469,23927,1996
2070393103,14138,Narsingh Deo,122,3987,1996
2116419005,13852,Neil D. Jones,184,7766,1998
2036035498,14020,Neil Immerman,128,7797,2002
2924355991,17073,Neil Jones,30,501,1998
2189376613,14033,Nelson Max,166,4526,2011
2094387482,14052,Nicholas Pippenger,118,4374,1997
1373210103,13101,Nick Feamster,310,15158,2016
218283174,12111,Nick McKeown,224,38079,2006
258753967,13448,Nick Roussopoulos,160,8123,2001
2327738716,12793,Niklaus Wirth,200,8961,1994
2165412067,13529,Ninghui Li,239,14134,2021
2112574952,12058,Noga Alon,732,35350,2016
2056937161,14125,Noshir Contractor,292,9359,2019
2116126005,13458,Nuria Oliver,212,14170,2017
53636449,15288,Olga Sorkine-Hornung,113,3148,2020
109346679,13718,Omer Reingold,124,10030,2014
2160510735,13119,Onur Mutlu,495,28359,2017
1975479660,13506,Ophir Frieder,425,12161,2005
1993734283,13517,Orna Grumberg,164,15413,2015
2268403478,13515,Oscar H. Ibarra,381,7995,1995
2175821055,13694,Ouri Wolfson,252,9633,2001
182206759,14578,Ozalp Babaoglu,118,4337,2002
2101866374,14493,P. C. van Oorschot,69,5260,2016
2141776277,13794,Pablo Rodriguez,150,8723,2015
2137074633,12718,Padhraic Smyth,374,28703,2013
1657786716,14358,Pamela Samuelson,342,2844,1999
248253975,14437,Pamela Zave,117,4108,2001
2242511651,14281,Paola Inverardi,260,6517,2021
2408455160,13341,Parthasarathy Ranganathan,246,14205,2014
2225733586,12491,Pat Hanrahan,263,32240,2008
2045132998,15068,Patricia G. Selinger,32,1159,2009
2148533322,13385,Patrick Cousot,160,16725,2020
2056207806,12869,Patrick McDaniel,284,27892,2015
599389352,12678,Patrick Suppes,538,15903,1994
2223920688,13534,Patrick Valduriez,419,10627,2012
2078767370,13519,Paul Barford,168,9137,2016
2296249340,12948,Paul Barham,80,25604,2018
2019007185,14518,Paul Beame,119,4686,2019
847797360,13060,Paul Dourish,219,21763,2015
2159432867,13749,Paul Hudak,134,8856,2003
2020459140,12857,Paul Resnick,124,20092,2020
2051205022,13375,Paul Syverson,147,12245,2014
2142498536,14450,Paul Young,102,3845,1995
2148643341,14180,Per-Ake Larson,98,5644,2004
2628783441,14653,Per-Åke Larson,71,2147,2004
2048758777,16178,Peter B. Key,54,1619,2011
2081047619,14015,Peter Boncz,215,6810,2022
2020138198,13342,Peter Buneman,171,13905,2000
2153265399,14688,Peter Freeman,94,2106,2000
2129006352,14478,Peter G. Neumann,201,2752,1994
2069086639,12531,Peter J. Denning,453,17053,1994
2118460571,13641,Peter J. Haas,180,8543,2013
1849627065,12544,Peter L. Bartlett,332,25569,2018
2139030624,14585,Peter Lee,99,3757,2004
2104365791,15410,Peter Magnusson,126,3730,2011
2686285044,13166,Peter Norvig,108,23207,2006
2120113151,13691,Peter P. Chen,97,7569,1998
2136661434,15870,Peter Schroeder,45,2453,2015
2147180669,11970,Peter Stone,1295,67881,2020
368308055,12524,Peter W. Shor,196,37189,2019
2024290158,14014,Peter Wegner,105,5935,1995
70450096,14198,Peter Widmayer,227,6864,1997
2304774990,12491,Philip A. Bernstein,256,25006,2001
2244447445,13846,Philip Heidelberger,208,9476,1996
2297443377,16394,Philip M. Lewis,29,744,1999
2109669342,14084,Philip N. Klein,127,7170,2010
2145462135,13430,Philip R. Cohen,162,10037,2019
2125104194,11642,Philip S. Yu,1827,91751,1997
2060729710,13443,Philip Wadler,192,17772,2007
2144092273,12967,Phillip B. Gibbons,256,19663,2006
720019886,14074,Phokion G. Kolaitis,201,7265,2005
2087987499,12994,Pierangela Samarati,363,18358,2021
2060797211,12971,Pierre Baldi,592,37582,2012
22135093,12568,Piotr Indyk,244,27561,2015
2195048431,12059,Prabhakar Raghavan,251,44919,2001
2216498992,14300,Prakash Panangaden,209,6129,2020
1481757371,14029,Premkumar Devanbu,158,9415,2018
2004361871,14099,Prithviraj Banerjee,278,5946,2000
2109031554,12340,Qiang Yang,1208,59860,2017
115057321,13276,Rachid Guerraoui,553,17315,2012
2068190112,13393,Rada Mihalcea,350,18761,2019
2151774571,14079,Radhika Nagpal,133,7280,2020
2618635485,16074,Radia Perlman,49,628,2016
158891262,13967,Radu Marculescu,273,9940,2022
2091057165,14327,Rafael Pass,213,6472,2022
1482108584,12696,Rafail Ostrovsky,375,23299,2021
2164040783,12545,Raghu Ramakrishnan,354,30000,2001
2157313770,12540,Raj Jain,413,20236,1996
2149385398,13459,Raj Reddy,96,6578,2012
689646243,12426,Rajeev Alur,319,35041,2007
2034912444,11764,Rajeev Motwani,237,65336,2007
2651564987,13161,Rajeev Rastogi,250,17853,2012
2180675385,12976,Rajesh Gupta,1088,20093,2016
2104865906,13120,Rajiv Gupta,876,19393,2009
2439481350,11226,Rakesh Agrawal,755,92387,2003
2238793978,13237,Ralf Steinmetz,1016,11869,2001
2069583943,11960,Ramakrishnan Srikant,78,44408,2014
2102043890,11965,Ramesh Govindan,387,37675,2011
2133201272,12281,Ramesh Jain,611,31713,2003
2040103212,12577,Ramin Zabih,123,24732,2012
687553606,12493,Ran Canetti,228,28424,2020
2472051909,13510,Randal E. Bryant,184,10355,2000
2246122413,11686,Randy H. Katz,441,52727,1996
2139439197,14040,Randy Pausch,68,5413,2007
2068611990,14048,Ranjit Jhala,125,8345,2021
2128927081,13345,Ranveer Chandra,278,12658,2022
1115548098,14221,Rastislav Bodik,129,7906,2018
2187777059,13359,Ravi Kannan,135,11546,2016
2559411768,13889,Ravi Kumar,767,9916,2020
2146115641,13768,Ravi Ramamoorthi,214,12622,2017
1996714504,12652,Ravi Sandhu,395,24667,2001
2239086285,13035,Ravi Sethi,69,11826,1996
2122615330,15074,Ravishankar Iyer,135,2527,2001
2115084254,13584,Ravishankar K. Iyer,396,10403,2001
2255242933,12900,Raymond A. Lorie,49,8885,2000
2413689514,16054,Raymond Miller,49,1655,1997
2162621422,13019,Raymond Reiter,95,16100,1997
2127844901,14033,Reinhard Wilhelm,256,7435,2000
2155853947,13398,René Vidal,342,19802,2022
528588921,12668,Ricardo Baeza-Yates,515,27672,2009
2169611794,13929,Ricardo Bianchini,177,8146,2016
233538037,14110,Richard A. Kemmerer,107,5525,1997
2606028354,14228,Richard D. Schlichting,146,4977,2001
1505021651,13311,Richard E. Ladner,275,12002,1995
2136233962,15112,Richard E. Nance,125,1837,1996
2652370983,13939,Richard F. Lyon,141,5382,2010
2119147541,16232,Richard Gabriel,42,1627,1998
71666084,15329,Richard H. Austing,39,709,1994
2157269769,13257,Richard Hull,272,14634,2007
2128366545,14309,Richard J. Cole,181,6134,1998
36891908,15296,Richard J. Fateman,77,1408,1999
2108052934,13522,Richard M. Fujimoto,321,10688,2017
2113585066,12962,Richard N. Taylor,231,17265,1998
2136191845,13157,Richard P. Brent,286,10453,1995
2033368653,13330,Richard R. Muntz,151,9666,1996
1989985383,11770,Richard Szeliski,343,60235,2008
699078101,13486,Richard T. Snodgrass,286,10517,1999
2618893480,12908,Rick Stevens,218,26722,2020
294129211,13399,Rina Dechter,258,13499,2013
262909221,13755,Rob A. Rutenbar,303,8169,2008
2109217526,13682,Robbert van Renesse,175,10335,2009
2228449327,13497,Robert A. Kowalski,108,10752,2001
2475573365,17118,Robert Aiken,29,616,2001
2021942052,13420,Robert B. Schnabel,160,10450,2010
2305176596,15106,Robert Cartwright,63,1865,1998
2610176178,13332,Robert E. Kahn,40,3375,2001
1975391153,12709,Robert E. Kraut,305,30498,2011
350567680,11719,Robert E. Tarjan,368,53063,1994
2147215243,13524,Robert Harper,227,14608,2005
2006104002,13828,Robert Kleinberg,186,9927,2021
2059506051,14598,Robert L. Constable,149,3025,1995
2132308597,14553,Robert L. Glass,281,3142,1999
3167806524,13632,Robert L. Grossman,345,12936,2016
2111892302,13608,Robert M. Graham,374,14742,1996
2270424441,11725,Robert Morris,273,48830,2014
2131448496,13484,Robert Schreiber,179,10761,2012
889684952,13585,Robert Sedgewick,101,9478,1997
2011551863,13371,Robert W. Floyd,39,7429,1994
2099649649,13282,Robert W. Taylor,882,29224,1994
1973589771,14526,Robert Wilensky,76,2783,1997
237969062,13317,Roberto Tamassia,312,14335,2012
2117700858,13747,Robin R. Murphy,346,9351,2019
2149195424,14239,Robin Williams,333,6984,2000
1992892501,12981,Roch Guerin,218,13107,2006
2288122487,12395,Rodney A. Brooks,219,25483,2005
2467977717,12663,Roger M. Needham,98,11614,1994
2100036403,13698,Ron Shamir,309,18919,2012
2232904012,14784,Ronald F. Boisvert,91,4081,2019
2103086064,12626,Ronald Fagin,197,25605,2000
1956695822,13391,Ronald J. Brachman,68,7679,1999
695545146,11344,Ronald L. Rivest,378,66846,1994
107632699,13836,Ronald M. Baecker,179,6780,2011
2580496752,14150,Ronald M. Kaplan,121,4840,1994
1534604502,13986,Ronitt Rubinfeld,149,6270,2014
2425011781,15743,Roy Levin,55,534,2008
2423577896,12299,Roy Want,253,24087,2005
2331811076,13641,Ruby B. Lee,288,9578,2001
2169216096,15431,Rudrapatna K. Shyamasundar,161,1149,2009
1601293841,13036,Ruzena Bajcsy,509,15061,1996
2096583854,13862,Ryen W. White,358,11913,2021
3160061748,13533,S. Muthukrishnan,159,9419,2010
2326873480,13395,S. Sitharama Iyengar,806,11769,2001
2157196917,13637,Sachin S. Sapatnekar,467,10726,2016
173843361,13708,Salil Vadhan,184,11608,2018
2021877992,12784,Salvatore J. Stolfo,330,25621,2019
2571969136,14604,Sam H. Noh,151,3609,2020
2083359406,13167,Saman Amarasinghe,232,16165,2019
2159856632,13682,Samir Khuller,216,10043,2022
2147258895,13788,Samson Abramsky,224,10352,2014
2139913828,12250,Samuel Madden,354,37171,2020
19214967,13904,Sandhya Dwarkadas,161,8997,2018
2100980789,14557,Sandy Irani,68,3803,2022
2575315241,12164,Sanjay Ghemawat,80,50256,2020
2159007752,13249,Sanjeev Arora,187,18932,2008
