authorID,rank,name,year,fellow,compareAuthorID,deviation,hIndex,CorePaperCount,CoreCitationCount,CorehIndex,PaperCount,CitationCount
2131931065,14064,Christoph Koch,0,False,2170777979,0.0319220340352846,50,224,3754,33,416,8256
2444423396,12845,Ross Overbeek,0,False,2380581373,0.017404561537772,52,50,9093,25,136,30377
2138920440,15411,Bryce Allen Curtis,0,False,2105930983,0.0231304518278938,26,57,1906,25,64,1980
2588568021,15905,James Christopher Sorenson,0,False,2105930983,0.0251619398929014,23,39,801,15,60,1984
2037257294,14706,Sylvia L. Osborn,0,False,2105930983,0.0366113353470014,22,42,1740,17,63,1972
2262403949,15632,Ronald Peikert,0,False,2105930983,0.0371192073632533,23,39,1305,19,60,1965
2778570607,15083,Nicolas S. Holliman,0,False,2105930983,0.0403981003804585,16,33,1130,10,79,2014
1226035095,14565,Erik Anthony Schultes,0,False,2121878995,0.0159349221189744,19,53,528,7,108,7439
2225970284,14549,Daniel R. Montello,0,False,2121878995,0.0246166370915936,42,56,3685,28,106,7600
2225970284,14549,Daniel R. Montello,0,False,40863599,0.0751624518852696,42,56,3685,28,106,7600
2217777545,14032,George Kollios,0,False,2121878995,0.033780457555,42,64,4442,25,115,7448
2298185606,14265,Jun Zhao,0,False,2121878995,0.0573692813575277,32,42,1221,15,123,7414
2015015692,14309,Aniket Kittur,0,False,2121878995,0.0576885649411361,36,64,6136,29,109,7705
2195069006,14132,George Forman,0,False,2009650199,0.0197869101978691,39,102,6029,33,146,7370
2195069006,14132,George Forman,0,False,2120858950,0.0388813152214486,39,102,6029,33,146,7370
2195069006,14132,George Forman,0,False,665840641,0.0076535982042913,39,102,6029,33,146,7370
2195069006,14132,George Forman,0,False,2151774571,0.0424378253325621,39,102,6029,33,146,7370
1804003123,14092,Alexander A. Migdal,0,False,2009650199,0.0414423204144231,38,122,4541,31,158,7033
1804003123,14092,Alexander A. Migdal,0,False,2120858950,0.0372766444325429,38,122,4541,31,158,7033
1804003123,14092,Alexander A. Migdal,0,False,665840641,0.0670764454884,38,122,4541,31,158,7033
1804003123,14092,Alexander A. Migdal,0,False,2151774571,0.0489661654135339,38,122,4541,31,158,7033
252562283,14350,Panos Kalnis,0,False,2009650199,0.0444864604448644,44,74,4635,28,146,7443
252562283,14350,Panos Kalnis,0,False,665840641,0.032055405716444,44,74,4635,28,146,7443
252562283,14350,Panos Kalnis,0,False,2151774571,0.0374277038750723,44,74,4635,28,146,7443
2144418927,13840,Daniel Barbará,0,False,2009650199,0.0457328004573279,38,98,5918,36,146,7213
2144418927,13840,Daniel Barbará,0,False,2120858950,0.0458903387052274,38,98,5918,36,146,7213
2144418927,13840,Daniel Barbará,0,False,665840641,0.0571359155497586,38,98,5918,36,146,7213
2144418927,13840,Daniel Barbará,0,False,2953271361,0.0226042922594646,38,98,5918,36,146,7213
91862343,14163,Georg Lausen,0,False,2009650199,0.0558328005583279,32,116,4772,29,155,6929
91862343,14163,Georg Lausen,0,False,2120858950,0.0373415615820309,32,116,4772,29,155,6929
91862343,14163,Georg Lausen,0,False,2112233366,0.0212710607076803,32,116,4772,29,155,6929
400323076,13450,James D. Hollan,0,False,2130144971,0.0306847898137423,33,76,5589,23,135,8264
2273607934,13915,Les A. Piegl,0,False,2130144971,0.0369073373979297,36,121,7767,35,140,8077
2044531097,14285,Ivona Brandic,0,False,2130144971,0.0441879183875643,29,111,2126,25,161,7895
2146731111,14271,Andrian Marcus,0,False,2130144971,0.0478063562130781,46,73,5348,33,143,8282
1977143277,13614,Norman J. Zabusky,0,False,2130144971,0.0510205196564759,38,99,6272,28,135,7839
1977143277,13614,Norman J. Zabusky,0,False,2242179040,0.046870407154373,38,99,6272,28,135,7839
2801387588,14940,Yuji Akiyama,0,False,2293769500,0.0106851037083595,23,66,728,13,132,1608
2693418543,15406,Kevin Curtis,0,False,2293769500,0.0155427853102271,22,52,681,16,89,1589
2777529500,15441,Jochen Lang,0,False,2293769500,0.0199425338960221,18,23,239,7,76,1582
1995540086,15882,Ramamohanarao Kotagiri,0,False,2293769500,0.0251414204902576,18,20,258,7,82,1551
1980519082,15066,Ryuji Kitaura,0,False,2293769500,0.0268564245308431,23,51,994,19,77,1571
2554677328,14122,Song Zhang,0,False,935383222,0.0183820081487475,46,182,6959,42,252,9235
2554677328,14122,Song Zhang,0,False,2463834394,0.0064251628814434,46,182,6959,42,252,9235
2554677328,14122,Song Zhang,0,False,2175821055,0.0571893243958021,46,182,6959,42,252,9235
1994375393,13504,Jun Rekimoto,0,False,935383222,0.0284815402730838,42,175,7287,35,264,9134
1994375393,13504,Jun Rekimoto,0,False,1735009869,0.0226910903516811,42,175,7287,35,264,9134
1994375393,13504,Jun Rekimoto,0,False,2463834394,0.021384408078972,42,175,7287,35,264,9134
2284116839,13405,Goetz Graefe,0,False,935383222,0.030151842499227,44,190,7085,40,272,9343
2284116839,13405,Goetz Graefe,0,False,2463834394,0.0133388498210567,44,190,7085,40,272,9343
2284116839,13405,Goetz Graefe,0,False,2175821055,0.045977863791629,44,190,7085,40,272,9343
2777169504,14021,Li Zhang,0,False,935383222,0.0315077961909988,42,80,1631,23,294,8960
2777169504,14021,Li Zhang,0,False,2123005755,0.0500840015403122,42,80,1631,23,294,8960
2777169504,14021,Li Zhang,0,False,2463834394,0.0401809944460457,42,80,1631,23,294,8960
2176652147,14089,Francesco Bonchi,0,False,935383222,0.0468761397305286,49,160,4534,33,285,9204
2176652147,14089,Francesco Bonchi,0,False,1735009869,0.0056727725879202,49,160,4534,33,285,9204
2176652147,14089,Francesco Bonchi,0,False,2463834394,0.0340654779685272,49,160,4534,33,285,9204
2170258465,13069,David Woods,0,False,2147783234,0.0432239663979213,66,518,8291,45,656,16751
1615293024,13693,Michael Markl,0,False,2147783234,0.0702553081673696,65,335,9155,50,664,15947
2619713811,13603,Derong Liu,0,False,2147783234,0.0785036574296544,73,419,9773,58,654,17363
2005837345,13723,Sun Young Rha,0,False,2147783234,0.086150800007119,61,268,5183,37,751,16003
2232911153,12753,David Madigan,0,False,2154833104,0.0125819744771358,51,100,8928,34,233,22957
2232911153,12753,David Madigan,0,False,2130754085,0.0447415773688013,51,100,8928,34,233,22957
2232911153,12753,David Madigan,0,False,194212017,0.0367867881081238,51,100,8928,34,233,22957
2169348332,12885,Marti A. Hearst,0,False,2154833104,0.0431217975572815,57,152,18082,48,235,22526
2169348332,12885,Marti A. Hearst,0,False,2154833104,0.0431217975572815,57,152,18082,48,235,22526
2169348332,12885,Marti A. Hearst,0,False,194212017,0.0177329950181623,57,152,18082,48,235,22526
2169348332,12885,Marti A. Hearst,0,False,194212017,0.0177329950181623,57,152,18082,48,235,22526
2169348332,12885,Marti A. Hearst,0,False,847797360,0.0533243448465274,57,152,18082,48,235,22526
2169348332,12885,Marti A. Hearst,0,False,847797360,0.0533243448465274,57,152,18082,48,235,22526
2046771686,13521,Helen Parkinson,0,False,2154833104,0.0460555573458798,50,77,10625,26,229,22248
2046771686,13521,Helen Parkinson,0,False,2130754085,0.0619759891503821,50,77,10625,26,229,22248
2046771686,13521,Helen Parkinson,0,False,194212017,0.0388540306928127,50,77,10625,26,229,22248
2046771686,13521,Helen Parkinson,0,False,847797360,0.031417950578849,50,77,10625,26,229,22248
3154945385,13169,Satoshi Tanaka,0,False,2154833104,0.0700339982598047,28,80,489,11,209,22332
3154945385,13169,Satoshi Tanaka,0,False,2130754085,0.0394061563765203,28,80,489,11,209,22332
2155788867,15813,Ashton Anderson,0,False,2274593112,0.0162283156127587,16,32,1387,12,48,1816
2143061424,15834,Jeffrey Margolis,0,False,2274593112,0.0440060933905365,21,15,364,8,46,1816
2113513988,16171,James W. Warner,0,False,2274593112,0.0524000497419634,20,26,1303,18,39,1743
1971178003,15639,Brian T. Berkowitz,0,False,2274593112,0.0563172293726295,21,50,1348,17,60,1736
2166782967,16232,Glenn Powell,0,False,2274593112,0.0568768264627247,23,18,1001,11,41,1839
323494375,12869,Brian J. Enquist,0,False,295064773,0.066836089132889,79,143,9853,51,343,33615
2135900311,12781,James Stephen Marron,0,False,2171343426,0.0054403730603611,71,154,4936,30,364,34487
2135900311,12781,James Stephen Marron,0,False,689646243,0.0252144397977505,71,154,4936,30,364,34487
2081422136,12985,Stephen M. Kosslyn,0,False,2171343426,0.0189260009849113,91,201,23556,69,329,33863
2081422136,12985,Stephen M. Kosslyn,0,False,689646243,0.0430221507649032,91,201,23556,69,329,33863
2089131864,12691,Dan Jurafsky,0,False,2171343426,0.0268058363476896,85,173,17316,60,354,34579
2089131864,12691,Dan Jurafsky,0,False,689646243,0.0288585364265183,85,173,17316,60,354,34579
706621141,12633,David G. Stork,0,False,2171343426,0.0653317394390241,43,211,4248,29,362,33231
706621141,12633,David G. Stork,0,False,2133227394,0.0429292042364823,43,211,4248,29,362,33231
706621141,12633,David G. Stork,0,False,2103789662,0.097921109045603,43,211,4248,29,362,33231
17594925,12870,Laurent Itti,0,False,2171343426,0.0679874150799024,65,214,26080,43,323,33354
17594925,12870,Laurent Itti,0,False,2133227394,0.0467775241163397,65,214,26080,43,323,33354
1941311089,13089,Rajeev K. Varshney,0,False,2295682018,0.0265496010195607,93,354,19896,69,786,34094
1941311089,13089,Rajeev K. Varshney,0,False,2223948068,0.0653185672908065,93,354,19896,69,786,34094
204361474,12558,David Moher,0,False,2295682018,0.029021609619021,89,305,10413,45,801,34516
204361474,12558,David Moher,0,False,2223948068,0.0434939978005798,89,305,10413,45,801,34516
77808685,13035,Vasilis Ntziachristos,0,False,2295682018,0.0423659052467693,91,523,21105,70,830,34203
77808685,13035,Vasilis Ntziachristos,0,False,2223948068,0.0547827239374719,91,523,21105,70,830,34203
77808685,13035,Vasilis Ntziachristos,0,False,2160067404,0.0824103934930017,91,523,21105,70,830,34203
1993486354,12863,Loet Leydesdorff,0,False,2295682018,0.0575753601696578,92,748,19978,75,1047,34588
1993486354,12863,Loet Leydesdorff,0,False,2295682018,0.0575753601696578,92,748,19978,75,1047,34588
1993486354,12863,Loet Leydesdorff,0,False,2223948068,0.0676220917679681,92,748,19978,75,1047,34588
1993486354,12863,Loet Leydesdorff,0,False,2223948068,0.0676220917679681,92,748,19978,75,1047,34588
1968209981,12699,Erik Brynjolfsson,0,False,2159933393,0.0634018051246155,73,229,29681,62,335,35274
1968209981,12699,Erik Brynjolfsson,0,False,671527850,0.0623845613713727,73,229,29681,62,335,35274
1968209981,12699,Erik Brynjolfsson,0,False,729699849,0.0548242916307868,73,229,29681,62,335,35274
1977873836,15969,Gary R. Bertoline,0,False,2893523298,0.0167826552462526,11,42,202,7,80,469
1898487956,16396,Günter Wallner,0,False,2893523298,0.0506959314775159,12,45,238,8,86,455
332866935,16474,Benoît Otjacques,0,False,2893523298,0.051043897216274,10,46,276,8,83,449
